ID,model,scale,AIC,AICw,rank
N15066_2015_win,forest,990,1157.401016,0.3984,2
N15066_2015_win,forest,1050,1160.071362,0.1048,3
N15066_2015_win,forest,870,1161.970987,0.0406,4
N15066_2015_win,forest,2010,1164.635819,0.0107,5
N15066_2015_sum,forest,3210,1381.182555,0.4695,1
N15066_2015_sum,forest,3150,1381.418215,0.4173,2
N15066_2015_sum,forest,2970,1385.119444,0.0656,3
N15066_2015_sum,forest,3270,1386.268463,0.0369,4
N15066_2015_sum,forest,3030,1390.096096,0.0054,5
N15067_2015_win,forest,2910,775.5787984,0.8354,1
N15067_2015_win,forest,2970,779.4408905,0.1211,2
N15067_2015_win,forest,2850,781.5073415,0.0431,3
N15067_2015_win,forest,3030,791.3793224,3.00E-04,4
N15067_2015_win,forest,2790,795.8681265,0,5
N15067_2015_sum,forest,90,952.3954484,0.9998,1
N15067_2015_sum,forest,1350,970.9298615,1.00E-04,2
N15067_2015_sum,forest,1410,971.8882664,1.00E-04,3
N15067_2015_sum,forest,1290,974.0027897,0,4
N15067_2015_sum,forest,1470,975.5805908,0,5
N15067_2016_win,forest,810,1133.075196,0.4705,1
N15067_2016_win,forest,870,1133.624918,0.3575,2
N15067_2016_win,forest,750,1135.642254,0.1304,3
N15067_2016_win,forest,930,1138.730662,0.0278,4
N15067_2016_win,forest,690,1141.128457,0.0084,5
N15067_2016_sum,forest,30,24.14822965,0.4036,1
N15067_2016_sum,forest,90,25.01220549,0.2621,2
N15067_2016_sum,forest,150,26.87408118,0.1033,3
N15067_2016_sum,forest,210,28.35850334,0.0492,4
N15067_2016_sum,forest,270,29.68838604,0.0253,5
N15068_2015_win,forest,1230,1164.315607,0.5194,1
N15068_2015_win,forest,1290,1164.87744,0.3922,2
N15068_2015_win,forest,1350,1168.318607,0.0702,3
N15068_2015_win,forest,1170,1171.209745,0.0165,4
N15068_2015_win,forest,1110,1176.412146,0.0012,5
N15068_2015_sum,forest,90,1182.18437,0.9998,1
N15068_2015_sum,forest,150,1199.141384,2.00E-04,2
N15068_2015_sum,forest,30,1207.213262,0,3
N15068_2015_sum,forest,210,1216.457866,0,4
N15068_2015_sum,forest,270,1234.351943,0,5
N15069_2015_win,forest,1830,1187.883684,0.4525,1
N15069_2015_win,forest,1890,1187.913682,0.4458,2
N15069_2015_win,forest,1770,1191.942395,0.0595,3
N15069_2015_win,forest,1950,1192.741195,0.0399,4
N15069_2015_win,forest,1710,1198.907982,0.0018,5
N15069_2015_sum,forest,450,1147.122541,0.6542,1
N15069_2015_sum,forest,510,1148.495068,0.3293,2
N15069_2015_sum,forest,570,1155.779665,0.0086,3
N15069_2015_sum,forest,390,1156.015831,0.0077,4
N15069_2015_sum,forest,630,1163.379832,2.00E-04,5
N15069_2016_win,forest,2130,987.7134179,0.292,1
N15069_2016_win,forest,2190,988.0993604,0.2407,2
N15069_2016_win,forest,2070,988.21119,0.2276,3
N15069_2016_win,forest,2250,990.126307,0.0874,4
N15069_2016_win,forest,2010,990.1471789,0.0865,5
N15069_2016_sum,forest,1590,1172.395058,0.1972,1
N15069_2016_sum,forest,1530,1172.810016,0.1603,2
N15069_2016_sum,forest,1650,1172.919595,0.1517,3
N15069_2016_sum,forest,1710,1173.850123,0.0953,4
N15069_2016_sum,forest,1770,1174.510483,0.0685,5
N15070_2015_win,forest,1950,1224.596681,0.3839,1
N15070_2015_win,forest,1890,1224.889504,0.3316,2
N15070_2015_win,forest,2010,1226.816341,0.1265,3
N15070_2015_win,forest,1830,1228.128746,0.0656,4
N15070_2015_win,forest,2070,1228.97874,0.0429,5
N15070_2015_sum,forest,150,1090.176775,0.2625,1
N15070_2015_sum,forest,210,1090.271445,0.2503,2
N15070_2015_sum,forest,270,1090.457808,0.2281,3
N15070_2015_sum,forest,330,1090.904007,0.1825,4
N15070_2015_sum,forest,390,1093.198078,0.0579,5
N15070_2016_win,forest,2190,1194.048777,0.2533,1
N15070_2016_win,forest,2250,1194.078917,0.2495,2
N15070_2016_win,forest,2310,1195.224825,0.1407,3
N15070_2016_win,forest,2130,1195.289572,0.1362,4
N15070_2016_win,forest,2070,1196.380518,0.0789,5
N15070_2016_sum,forest,1470,1183.393084,0.2645,1
N15070_2016_sum,forest,510,1184.128412,0.1831,2
N15070_2016_sum,forest,570,1184.634166,0.1422,3
N15070_2016_sum,forest,1530,1184.770481,0.1328,4
N15070_2016_sum,forest,1410,1185.584086,0.0884,5
N15074_2015_sum,forest,330,1185.752607,0.6151,1
N15074_2015_sum,forest,270,1188.738911,0.1382,2
N15074_2015_sum,forest,390,1190.709906,0.0516,3
N15074_2015_sum,forest,210,1191.114788,0.0421,4
N15074_2015_sum,forest,1410,1191.700216,0.0314,5
N15074_2016_win,forest,210,1177.552849,0.3261,1
N15074_2016_win,forest,270,1178.426917,0.2107,2
N15074_2016_win,forest,150,1179.672243,0.113,3
N15074_2016_win,forest,510,1180.153695,0.0888,4
N15074_2016_win,forest,1470,1181.041636,0.057,5
N15074_2016_sum,forest,2850,1021.796654,0.4582,1
N15074_2016_sum,forest,2790,1023.03391,0.2468,2
N15074_2016_sum,forest,2910,1024.663172,0.1093,3
N15074_2016_sum,forest,3210,1026.250955,0.0494,4
N15074_2016_sum,forest,3150,1027.465568,0.0269,5
N15075_2015_sum,forest,1410,1224.309391,0.4455,1
N15075_2015_sum,forest,1350,1224.974041,0.3195,2
N15075_2015_sum,forest,1470,1226.855296,0.1247,3
N15075_2015_sum,forest,1290,1228.304171,0.0604,4
N15075_2015_sum,forest,1530,1229.617363,0.0313,5
N15076_2015_win,forest,1230,1163.0761,0.652,1
N15076_2015_win,forest,1170,1164.48884,0.3217,2
N15076_2015_win,forest,1290,1170.54274,0.0156,3
N15076_2015_win,forest,1110,1171.346311,0.0104,4
N15076_2015_win,forest,1350,1179.772822,2.00E-04,5
N15079_2015_win,forest,210,1038.121264,0.3644,1
N15079_2015_win,forest,270,1038.910959,0.2455,2
N15079_2015_win,forest,150,1039.037206,0.2305,3
N15079_2015_win,forest,330,1041.185556,0.0787,4
N15079_2015_win,forest,90,1041.839393,0.0568,5
N15080_2015_sum,forest,30,1398.641132,0.8732,1
N15080_2015_sum,forest,870,1404.803296,0.0401,2
N15080_2015_sum,forest,930,1404.978453,0.0367,3
N15080_2015_sum,forest,990,1405.825423,0.024,4
N15080_2015_sum,forest,810,1406.670993,0.0158,5
N15080_2016_win,forest,150,658.1008744,0.4111,1
N15080_2016_win,forest,210,659.0839703,0.2515,2
N15080_2016_win,forest,270,660.2925662,0.1374,3
N15080_2016_win,forest,90,661.3793558,0.0798,4
N15080_2016_win,forest,330,662.0073744,0.0583,5
N15080_2016_sum,forest,90,444.5370659,0.2151,1
N15080_2016_sum,forest,3510,445.7945312,0.1147,2
N15080_2016_sum,forest,3450,446.2575531,0.091,3
N15080_2016_sum,forest,3570,446.3120486,0.0885,4
N15080_2016_sum,forest,30,446.4544653,0.0825,5
N15080_2017_win,forest,150,834.6551459,0.9521,1
N15080_2017_win,forest,90,842.2263252,0.0216,2
N15080_2017_win,forest,30,842.57141,0.0182,3
N15080_2017_win,forest,210,844.1821642,0.0081,4
N15080_2017_win,forest,270,860.0917397,0,5
N15080_2017_sum,forest,2490,895.7480364,0.3566,1
N15080_2017_sum,forest,2430,896.523784,0.2419,2
N15080_2017_sum,forest,2550,898.5349514,0.0885,3
N15080_2017_sum,forest,2370,898.8615457,0.0752,4
N15080_2017_sum,forest,1710,900.0118074,0.0423,5
N15088_2015_win,forest,90,721.3121965,0.7543,1
N15088_2015_win,forest,150,723.583666,0.2423,2
N15088_2015_win,forest,30,734.0094992,0.0013,3
N15088_2015_win,forest,210,734.022859,0.0013,4
N15088_2015_win,forest,270,734.935897,8.00E-04,5
N15088_2015_sum,forest,90,857.8952995,0.8466,1
N15088_2015_sum,forest,150,861.3407396,0.1512,2
N15088_2015_sum,forest,30,870.8975425,0.0013,3
N15088_2015_sum,forest,210,871.622694,9.00E-04,4
N15088_2015_sum,forest,270,878.9440904,0,5
N15089_2015_sum,forest,90,1034.853596,0.8041,1
N15089_2015_sum,forest,30,1038.294037,0.144,2
N15089_2015_sum,forest,150,1040.483992,0.0482,3
N15089_2015_sum,forest,210,1046.127172,0.0029,4
N15089_2015_sum,forest,270,1049.15481,6.00E-04,5
N15092_2015_win,forest,1110,357.1983971,0.1071,1
N15092_2015_win,forest,1170,357.2052826,0.1067,2
N15092_2015_win,forest,1230,357.8419351,0.0776,3
N15092_2015_win,forest,1050,358.0777266,0.069,4
N15092_2015_win,forest,570,358.3057664,0.0615,5
N15092_2015_sum,forest,270,787.7027173,0.4481,1
N15092_2015_sum,forest,210,789.8058824,0.1566,2
N15092_2015_sum,forest,90,790.4241168,0.1149,3
N15092_2015_sum,forest,330,790.4546506,0.1132,4
N15092_2015_sum,forest,390,791.4154702,0.07,5
N15094_2015_sum,forest,150,832.9655833,0.6535,1
N15094_2015_sum,forest,90,834.8869391,0.25,2
N15094_2015_sum,forest,210,837.2245844,0.0777,3
N15094_2015_sum,forest,270,841.4387146,0.0094,4
N15094_2015_sum,forest,30,841.7793703,0.008,5
N15095_2015_win,forest,90,823.0685474,0.8939,1
N15095_2015_win,forest,150,828.1462446,0.0706,2
N15095_2015_win,forest,2430,832.2717833,0.009,3
